Muestra,Gen,Count,AF_promedio,Pathogenic_count
L0176,ASXL1,1,0.1176,1
L0176,BAALC,1,0.0508,0
L0176,BCOR,2,0.061149999999999996,0
L0176,BRAF,2,0.0796,0
L0176,CUX1,1,0.0833,0
L0176,DEK-NUP214,1,,1
L0176,EZH2,4,0.077525,1
L0176,FLT3,4,0.11865,2
L0176,KIT,1,0.0903,0
L0176,KMT2A(MLL),4,0.10015,1
L0176,KRAS,1,0.1071,0
L0176,MPL,2,0.07919999999999999,0
L0176,NF1,3,0.11133333333333333,2
L0176,NUP214-DEK,1,,0
L0176,PHF6,5,0.06545999999999999,0
L0176,SMC1A,3,0.20173333333333332,0
L0176,TET2,1,0.0635,0
L0176,U2AF1,1,0.125,0
L0176,WT1,2,0.08035,0
L0176,ZRSR2,2,0.06675,0
L0193,ASXL1,4,0.059,1
L0193,BCOR,7,0.08544285714285714,0
L0193,BRAF,3,0.10060000000000001,1
L0193,CBL,1,0.0536,0
L0193,CEBPA,1,0.0533,1
L0193,CSF3R,1,0.0579,0
L0193,DDX41,1,0.0556,0
L0193,EZH2,4,0.07542499999999999,0
L0193,FLT3,4,0.082925,0
L0193,GATA2,7,0.1244,1
L0193,IDH1,3,0.11869999999999999,0
L0193,JAK2,2,0.10110000000000001,0
L0193,KIT,1,0.0811,0
L0193,KMT2A(MLL),14,0.08524285714285715,0
L0193,KRAS,2,0.09809999999999999,0
L0193,MPL,2,0.08895,0
L0193,NF1,14,0.11568571428571428,4
L0193,NRAS,1,0.0667,0
L0193,PHF6,2,0.1167,0
L0193,PTPN11,2,0.0513,0
L0193,RUNX1-RUNX1T1,3,,3
L0193,SETBP1,4,0.24682500000000002,0
L0193,STAG2,4,0.059825,0
L0193,TET2,2,0.0579,0
L0193,ZRSR2,2,0.087,0
L0230,"ANKRD11-ENSG00000256982(28686),ACSF3(6723)",1,,0
L0230,ASXL1,3,0.06446666666666666,0
L0230,BCOR,7,0.07348571428571428,0
L0230,BRAF,1,0.0909,0
L0230,CBL,1,0.0541,0
L0230,CSF3R,2,0.18805,0
L0230,CUX1,5,0.07672,0
L0230,DEK-NUP214,1,,1
L0230,DNMT3A,1,0.0606,0
L0230,EZH2,3,0.18839999999999998,0
L0230,FLT3,2,0.5746,1
L0230,JAK2,3,0.07556666666666667,0
L0230,KIT,2,0.1511,0
L0230,KMT2A(MLL),19,0.07976842105263159,2
L0230,KRAS,1,0.0513,0
L0230,MPL,1,0.3333,0
L0230,NF1,11,0.09796363636363635,1
L0230,NUP214-DEK,1,,0
L0230,SMC1A,4,0.053925,0
L0230,STAG2,4,0.06805,0
L0230,TET2,2,0.06265000000000001,0
L0230,ZRSR2,1,0.2222,0
L0231,ASXL1,4,0.06765,0
L0231,BCOR,5,0.07044,0
L0231,BRAF,7,0.09994285714285714,0
L0231,CBL,1,0.1667,0
L0231,CEBPA,3,0.10166666666666667,1
L0231,CSF3R,1,0.3846,0
L0231,CUX1,7,0.07454285714285715,0
L0231,DDX41,1,0.0667,0
L0231,DNMT3A,3,0.2780666666666667,1
L0231,ETV6,1,0.0789,0
L0231,EZH2,5,0.16094,0
L0231,FLT3,1,0.0595,0
L0231,IDH1,1,0.0769,0
L0231,IDH2,1,0.5541,1
L0231,JAK2,3,0.07426666666666666,0
L0231,KMT2A(MLL),6,0.29966666666666664,1
L0231,MPL,2,0.0702,0
L0231,NF1,13,0.08283846153846154,1
L0231,PHF6,1,0.0909,0
L0231,PTPN11,2,0.06155,0
L0231,SETBP1,2,0.24285,0
L0231,SF3B1,1,0.2222,0
L0231,SMC1A,7,0.06377142857142858,0
L0231,TET2,4,0.0591,0
L0231,TP53,1,0.0652,1
L0231,ZRSR2,2,0.2193,0
L0243,ASXL1,2,0.0825,0
L0243,BCOR,1,0.0706,0
L0243,CLEC16A-HOXA10-AS,1,,0
L0243,CUX1,1,0.0538,0
L0243,EZH2,1,0.0741,0
L0243,FLT3,5,0.0918,2
L0243,GAS6-AS1-TMEM255B,2,,0
L0243,KMT2A(MLL),3,0.42346666666666666,0
L0243,NF1,1,0.1196,0
L0243,NUP98-ENSG00000257184,1,,1
L0243,NUP98-HOXA9,1,,1
L0243,SETBP1,2,0.27690000000000003,0
L0243,SF1,1,0.1728,0
L0243,SMC1A,1,0.0613,0
L0243,ZRSR2,5,0.23532000000000003,0
L0364,ASXL1,7,0.07785714285714285,2
L0364,BCOR,5,0.09628,1
L0364,BRAF,1,0.0833,0
L0364,CBL,3,0.06523333333333332,0
L0364,CEBPA,4,0.06285,1
L0364,CUX1,6,0.15246666666666667,0
L0364,DDX41,4,0.0577,0
L0364,DNMT3A,5,0.07854,0
L0364,ETV6,1,0.0741,0
L0364,EZH2,6,0.06476666666666667,1
L0364,FLT3,1,0.1111,0
L0364,GATA2,1,0.3333,0
L0364,IDH1,2,0.0598,0
L0364,JAK2,5,0.08568,0
L0364,KIT,4,0.075225,0
L0364,KMT2A(MLL),18,0.07658888888888889,1
L0364,KRAS,1,0.8824,0
L0364,NF1,8,0.1741875,2
L0364,NRAS,1,0.0526,0
L0364,PHF6,1,0.1176,0
L0364,PTPN11,4,0.06587499999999999,0
L0364,RUNX1,1,0.8639,0
L0364,SETBP1,2,0.0801,0
L0364,SF3B1,1,0.1176,0
L0364,SMC1A,2,0.06315,0
L0364,STAG2,2,0.07155,0
L0364,TET2,7,0.07324285714285715,0
L0364,ZRSR2,3,0.13216666666666668,0
L0374,ASXL1,5,0.060899999999999996,0
L0374,BCOR,2,0.07105,0
L0374,BRAF,3,0.06266666666666666,0
L0374,CUX1,3,0.05786666666666667,0
L0374,DNMT3A,4,0.1389,1
L0374,ETV6,1,0.1392,0
L0374,GATA2,1,0.1667,0
L0374,KMT2A(MLL),12,0.11333333333333333,1
L0374,KRAS,2,0.2344,1
L0374,NF1,8,0.0836875,1
L0374,NPM1,1,0.5982,1
L0374,NRAS,1,0.0606,0
L0374,PHF6,4,0.110625,0
L0374,PTPN11,2,0.07285,1
L0374,TET2,1,0.0504,0
L0374,ZRSR2,3,0.0649,0
L0591,AXL1,1,0.5,0
L0591,BCOR,1,0.0714,1
L0591,BRAF,1,0.0606,0
L0591,CEBPA,3,0.3191333333333333,0
L0591,CSF3R,1,0.4723,1
L0591,EZH2,1,0.0625,0
L0591,FLT3,1,0.0606,0
L0591,IDH1,2,0.47695,0
L0591,KIT,2,0.06695000000000001,0
L0591,KMT2A(MLL),4,0.33292499999999997,0
L0591,NF1,11,0.0664,4
L0591,SETBP1,3,0.16603333333333334,0
L0591,SMC1A,1,0.2222,0
L0591,ZRSR2,2,0.1018,0
L0619B,ASXL1,2,0.21505,1
L0619B,AXL1,1,0.3333,0
L0619B,BCOR,5,0.07092000000000001,0
L0619B,BRAF,1,0.1132,0
L0619B,CBL,1,0.0545,0
L0619B,DDX41,1,0.0541,0
L0619B,EZH2,3,0.1686,1
L0619B,JAK2,4,0.177875,1
L0619B,KIT,1,0.3636,1
L0619B,KMT2A(MLL),3,0.10629999999999999,0
L0619B,NF1,9,0.06536666666666667,1
L0619B,NRAS,1,0.0577,0
L0619B,PHF6,1,0.0741,0
L0619B,RUNX1-RUNX1T1,2,,2
L0619B,SETBP1,3,0.3285666666666667,0
L0619B,STAG2,1,0.0703,0
L0619B,TET2,1,0.0682,0
L0619B,WT1,3,0.08323333333333334,0
L0619B,ZRSR2,4,0.1451,0
L0624,ASXL1,3,0.206,1
L0624,BCOR,4,0.06735,0
L0624,BRAF,4,0.0776,0
L0624,CUX1,5,0.1311,0
L0624,DDX41,1,0.0714,0
L0624,DNMT3A,4,0.061524999999999996,0
L0624,EZH2,6,0.10189999999999999,0
L0624,JAK2,3,0.06366666666666666,0
L0624,KIT,5,0.06316,0
L0624,KMT2A(MLL),14,0.07333571428571428,1
L0624,NF1,12,0.11138333333333333,4
L0624,NRAS,2,0.17315,1
L0624,PTPN11,2,0.23705,0
L0624,SETBP1,6,0.08439999999999999,0
L0624,SF3B1,2,0.23745,0
L0624,SMC1A,2,0.0631,0
L0624,TET2,2,0.05985,0
L0624,ZRSR2,2,0.07020000000000001,0
L0683,ASXL1,1,0.0566,1
L0683,BRAF,1,0.0652,0
L0683,CUX1,1,0.1,0
L0683,EZH2,3,0.061533333333333336,0
L0683,FLT3,1,,1
L0683,IDH2,1,0.4387,1
L0683,JAK2,1,0.0588,0
L0683,KIT,1,0.0606,0
L0683,KMT2A(MLL),2,0.10585,0
L0683,KRAS,1,0.1648,1
L0683,NF1,3,0.08733333333333333,0
L0683,NPEPPSP1-TBC1D3L,1,,0
L0683,NPM1,2,0.29935,1
L0683,SETBP1,1,1.0,1
L0683,SF1,1,0.0647,0
L0683,SRSF2,1,0.4353,1
L0683,TFDP2-XRN1,1,,0
L0683,ZRSR2,1,0.1667,0
L0738,ASXL1,2,0.09675,0
L0738,BCOR,3,0.07006666666666667,0
L0738,BRAF,2,0.0814,0
L0738,CBL,1,0.0571,0
L0738,CEBPA,1,0.0574,1
L0738,CUX1,3,0.05959999999999999,0
L0738,DDX41,1,0.0833,0
L0738,DNMT3A,4,0.059725,0
L0738,EZH2,3,0.11783333333333335,0
L0738,FLT3,1,,1
L0738,GATA2,1,0.8231,1
L0738,IDH1,1,0.3333,0
L0738,IDH2,1,0.1787,1
L0738,JAK2,10,0.13081,0
L0738,KIT,1,0.0588,1
L0738,KMT2A(MLL),6,0.10575000000000001,1
L0738,KRAS,1,0.1333,0
L0738,MPL,1,0.2222,0
L0738,NF1,16,0.0816,3
L0738,NPM1,1,0.4813,0
L0738,NRAS,3,0.06233333333333333,1
L0738,PTPN11,4,0.0617,2
L0738,SMC1A,3,0.06413333333333333,0
L0738,STAG2,4,0.058975,0
L0738,TET2,5,0.07647999999999999,0
L0738,WT1,2,0.0897,1
L0738,ZRSR2,3,0.23173333333333335,0
L0775,ASXL1,1,1.0,1
L0775,BAALC,1,0.0526,0
L0775,BRAF,1,0.0606,0
L0775,CBL,1,0.0526,1
L0775,CUX1,4,0.0683,0
L0775,DDX41,1,0.0571,0
L0775,DNMT3A,3,0.18623333333333333,1
L0775,ETV6,1,0.0732,0
L0775,EZH2,2,0.12179999999999999,0
L0775,FLT3,1,0.0571,0
L0775,GATA2,1,0.0619,0
L0775,IDH1,2,0.05905,0
L0775,IDH2,1,0.3097,1
L0775,JAK2,5,0.08336,0
L0775,KIT,1,0.0676,0
L0775,KMT2A,1,,1
L0775,KMT2A(MLL),9,0.06693333333333334,1
L0775,KRAS,2,0.1548,0
L0775,MPL,1,0.0526,0
L0775,NF1,13,0.18374615384615384,6
L0775,NRAS,2,0.06005,0
L0775,PHF6,2,0.1176,0
L0775,SETBP1,1,0.25,0
L0775,SMC1A,4,0.0756,0
L0775,STAG2,1,0.1176,0
L0775,TET2,3,0.06806666666666666,0
L0775,ZRSR2,1,0.25,0
L0786,ASXL1,5,0.06562,1
L0786,BCOR,12,0.08478333333333334,1
L0786,BRAF,2,0.06459999999999999,1
L0786,CBL,2,0.0737,0
L0786,CSF3R,1,0.3,0
L0786,CUX1,5,0.06454,0
L0786,DNMT3A,3,0.083,0
L0786,EZH2,3,0.20709999999999998,0
L0786,"FAM20C-ENSG00000261795(4878),ENSG00000239715(5070)",1,,0
L0786,FLT3,2,0.2456,1
L0786,GATA2,1,0.2589,1
L0786,JAK2,1,0.1111,0
L0786,KIT,4,0.09687499999999999,0
L0786,KMT2A(MLL),23,0.09776521739130434,1
L0786,KRAS,1,0.0625,0
L0786,MPL,1,0.2222,0
L0786,NF1,7,0.16001428571428572,2
L0786,NRAS,2,0.07335,0
L0786,PHF6,2,0.202,0
L0786,PTPN11,2,0.09545000000000001,0
L0786,SMC1A,7,0.07472857142857144,1
L0786,STAG2,9,0.08784444444444445,0
L0786,TET2,11,0.07527272727272727,0
L0786,U2AF1,1,0.0952,0
L0786,WT1,2,0.07705000000000001,0
L0790,ASXL1,1,0.0588,0
L0790,BRAF,2,0.15165,0
L0790,CEBPA,1,0.0577,0
L0790,CUX1,1,0.05,0
L0790,DDX41,2,0.0637,0
L0790,DNMT3A,2,0.06645,0
L0790,EZH2,4,0.10727500000000001,0
L0790,FLT3,9,0.1182142857142857,3
L0790,IDH2,1,0.4932,1
L0790,JAK2,10,0.06605,0
L0790,KMT2A(MLL),7,0.06885714285714285,0
L0790,NF1,16,0.07874375,6
L0790,NPM1-NSD1,1,,0
L0790,NUP98-NSD1,1,,1
L0790,PHF6,1,0.1429,0
L0790,SF1,1,0.1765,0
L0790,STAG2,1,0.08,0
L0790,STK10-NUP98,1,,0
L0790,TET2,4,0.07845,0
L0790,WT1,4,0.18345,0
L0790,ZRSR2,2,0.0926,0
L0811,ASXL1,4,0.1732,1
L0811,AXL1,1,0.2857,0
L0811,BCOR,7,0.06254285714285714,0
L0811,BRAF,4,0.0746,0
L0811,CBFB-MYH11,1,,1
L0811,CEBPA,1,0.0588,0
L0811,CUX1,2,0.0572,0
L0811,EZH2,5,0.1653,0
L0811,FLT3,2,0.18334999999999999,0
L0811,GATA2,3,0.1581,1
L0811,JAK2,2,0.30024999999999996,1
L0811,KIT,2,0.06785,0
L0811,KMT2A(MLL),12,0.1303,1
L0811,KRAS,1,0.4211,1
L0811,NF1,10,0.14340999999999998,1
L0811,PHF6,1,0.0714,0
L0811,SETBP1,4,0.177075,0
L0811,SMC1A,1,0.0635,0
L0811,U2AF1,1,0.0526,0
L0811,WT1,2,0.11904999999999999,1
L0811,ZRSR2,2,0.09125,0
L0815,ASXL1,1,0.0508,0
L0815,AXL1,2,0.24285,0
L0815,BRAF,1,0.06,0
L0815,CEBPA,2,0.0693,1
L0815,CUX1,1,0.0661,0
L0815,DNMT3A,1,0.0606,0
L0815,EZH2,3,0.09443333333333333,1
L0815,FLT3,1,0.2727,0
L0815,GATA2,2,0.46425,0
L0815,IDH1,2,0.0582,0
L0815,JAK2,1,0.0556,0
L0815,KIT,2,0.12465000000000001,0
L0815,KMT2A(MLL),1,0.1111,0
L0815,KRAS,2,0.09384999999999999,0
L0815,MPL,4,0.17005,1
L0815,NF1,8,0.1256,2
L0815,PHF6,5,0.09834000000000001,0
L0815,SETBP1,2,0.16025,0
L0815,TP53,1,0.8023,1
L0815,ZRSR2,3,0.11506666666666666,0
L1193,ASXL1,2,0.0838,0
L1193,BAALC,1,0.2,0
L1193,BCOR,2,0.07565,0
L1193,BRAF,2,0.07669999999999999,0
L1193,CUX1,1,0.0544,0
L1193,DNMT3A,2,0.25875,1
L1193,EZH2,5,0.06812,0
L1193,FLT3,1,0.1765,0
L1193,IDH1,1,0.4828,0
L1193,IDH2,1,0.4933,1
L1193,KIT,4,0.0849,0
L1193,KMT2A(MLL),10,0.07465,1
L1193,MPL,1,0.2857,0
L1193,NF1,9,0.13803333333333334,6
L1193,NPM1,2,0.3321,1
L1193,PHF6,3,0.07726666666666666,0
L1193,SETBP1,2,0.36665000000000003,1
L1193,STAG2,1,0.0845,0
L1193,WT1,1,0.0909,0
L1193,ZRSR2,3,0.0769,0
L1195,ASXL1,5,0.0586,0
L1195,BCOR,9,0.0677,0
L1195,BRAF,3,0.07943333333333334,0
L1195,CBL,2,0.054849999999999996,1
L1195,CEBPA,4,0.069425,3
L1195,CUX1,2,0.06505,0
L1195,DDX41,1,0.0556,0
L1195,DNMT3A,3,0.06236666666666666,0
L1195,"ENSG00000287991(134375),ENSG00000229402(20496)-CDK6",1,,0
L1195,EZH2,4,0.076925,0
L1195,FLT3,2,0.17859999999999998,0
L1195,GATA2,1,0.9733,1
L1195,IDH1,3,0.06756666666666666,0
L1195,IDH2,1,0.0507,0
L1195,JAK2,5,0.0672,0
L1195,KIT,2,0.05345,0
L1195,KMT2A(MLL),3,0.07626666666666666,0
L1195,KRAS,3,0.15583333333333335,2
L1195,NF1,14,0.10429999999999999,2
L1195,PHF6,3,0.15993333333333334,0
L1195,PTPN11,1,0.0667,0
L1195,RUNX1,3,0.18646666666666667,0
L1195,SETBP1,4,0.308325,1
L1195,SMC1A,3,0.0583,0
L1195,STAG2,4,0.0841,0
L1195,TET2,12,0.06965833333333334,0
L1195,TMEM87B-MERTK,1,,0
L1195,U2AF1,1,0.1667,0
L1195,WT1,1,0.25,0
L1195,ZRSR2,1,0.1667,0
L1217,BCOR,1,0.0688,0
L1217,"ENSG00000285708-IRF2BP2(11923),LINC00184(7210)",1,,0
L1217,ENSG00000285708-LINC00184,1,,0
L1217,EZH2,1,0.0667,1
L1217,FLT3,1,0.3065,0
L1217,"FOXP1-IRF2BP2(11923),LINC00184(7210)",1,,0
L1217,FOXP1-LINC00184,1,,0
L1217,FOXP1-ST3GAL6,1,,0
L1217,HTR1F-CENPE,1,,0
L1217,JAK2,1,0.0662,0
L1217,KIF26B-BANK1,1,,0
L1217,KIT,1,0.0541,0
L1217,KMT2A(MLL),4,0.278175,1
L1217,KRAS,1,0.0541,0
L1217,KYAT3-HEMGN,2,,0
L1217,"LSAMP(104688),RNU6-1200P(300128)-LSAMP",1,,0
L1217,MPL,1,0.6667,0
L1217,NF1,2,0.14024999999999999,1
L1217,NFKB1-ST3GAL6,1,,0
L1217,NID1-TRMT10C,1,,0
L1217,RBMXL1-HEMGN,2,,0
L1217,RUNX1,1,0.4295,0
L1217,"SERBP1-ENSG00000238015(5042),ENSG00000235400(77336)",1,,0
L1217,SETBP1,3,0.21456666666666668,1
L1217,SMYD3-IMPG2,1,,0
L1217,ST3GAL6-NID1,2,,0
L1217,STAG2,2,0.08605,0
L1217,TET2,1,0.4583,0
L1217,"TFG-TUBBP11(99983),RAP1BP2(332144)",1,,0
L1217,U2AF1,1,0.08,0
L1217,ZRSR2,2,0.059300000000000005,0
L1234,ASXL1,11,0.06460909090909091,1
L1234,BCOR,1,0.9829,0
L1234,BRAF,4,0.116725,0
L1234,CBL,3,0.06513333333333333,0
L1234,CEBPA,1,0.0652,0
L1234,CUX1,2,0.0925,0
L1234,DDX41,2,0.08495,0
L1234,DNMT3A,6,0.14238333333333333,1
L1234,EZH2,3,0.09346666666666666,0
L1234,FLT3,3,0.26753333333333335,0
L1234,IDH1,1,0.087,0
L1234,JAK2,7,0.07247142857142856,0
L1234,KIT,5,0.06866,0
L1234,KMT2A(MLL),9,0.06712222222222222,1
L1234,MPL,2,0.1333,0
L1234,NF1,20,0.099685,4
L1234,PTPN11,6,0.07111666666666668,0
L1234,RUNX1,1,0.4854,0
L1234,SETBP1,2,0.16025,0
L1234,SMC1A,4,0.078475,0
L1234,SNAP29-FAM230B,1,,0
L1234,STAG2,11,0.17782727272727272,0
L1234,TET2,6,0.12785,0
L1234,ZRSR2,2,0.16805,0
L1278,ASXL1,1,0.25,0
L1278,AXL1,3,0.3666666666666667,0
L1278,BCOR,2,0.08510000000000001,0
